city,state,Correction,Census_Name,State
Aloha,OR,Correction needed,Aloha CDP, Oregon
Shelton,WA,Correction needed,Shelton city, Washington
Wichita,KS,Correction needed,Wichita city, Kansas
Guthrie,OK,Correction needed,Guthrie city, Oklahoma
Evans,CO,No close match found,,
San Francisco,CA,Correction needed,San Francisco city, California
Chandler,AZ,Correction needed,Chandler city, Arizona
Stockton,CA,Correction needed,Stockton city, California
Knoxville,PA,No close match found,,
Burlington,IA,Correction needed,Burlington city, Iowa
Assaria,KS,Correction needed,Assaria city, Kansas
New Orleans,LA,Correction needed,New Orleans city, Louisiana
Des Moines,IA,Correction needed,Des Moines city, Iowa
Columbus,OH,Correction needed,Columbus city, Ohio
Freeport,TX,Correction needed,Freeport city, Texas
Syracuse,UT,Correction needed,Syracuse city, Utah
Strong,AR,Correction needed,Strong city, Arkansas
Salt Lake City,UT,Correction needed,Salt Lake City city, Utah
Huntley,MT,Correction needed,Huntley CDP, Montana
El Paso,TX,Correction needed,El Paso city, Texas
England,AR,Correction needed,England city, Arkansas
North Las Vegas,NV,Correction needed,North Las Vegas city, Nevada
South Gate,CA,Correction needed,South Gate city, California
Arcola,IL,Correction needed,Arcola city, Illinois
Jourdanton,TX,Correction needed,Jourdanton city, Texas
Albuquerque,NM,Correction needed,Albuquerque city, New Mexico
Draper,UT,Correction needed,Draper city, Utah
Lake Jackson,TX,Correction needed,Lake Jackson city, Texas
Old Bridge,NJ,Correction needed,Old Bridge CDP, New Jersey
Chesapeake,VA,Correction needed,Chesapeake city, Virginia
Franklin County,MO,Correction needed,Franklin city, Missouri
St. Paul,MN,Correction needed,St. Paul city, Minnesota
Evangeline Parish,LA,No close match found,,
Fairfield,CA,Correction needed,Fairfield city, California
Bloomington,MN,Correction needed,Bloomington city, Minnesota
Aurora,CO,Correction needed,Aurora city, Colorado
Indianapolis,IN,No close match found,,
Fremont,CA,Correction needed,Fremont city, California
Mabank,TX,Correction needed,Mabank town, Texas
Fort Worth,TX,Correction needed,Fort Worth city, Texas
Los Angeles,CA,Correction needed,Los Angeles city, California
